rodada,id,origem,categoria,pergunta,acc_t,f_resp,r_ctx,retentativa,retry_inferido,guarda_recuperou,aviso_fidelidade,latencia_total_s,motivos
rodada_3,P01,v1,saude_geral,Como está a saúde da máquina virtual do site?,PASS,PASS,,False,False,,,73.773,
rodada_3,P02,v1,saude_geral,Como está a saúde dos containers dele?,PASS,PASS,PASS,True,False,,,114.852,
rodada_3,P03,v1,saude_geral,Como está a saúde da VM de testes?,PASS,PASS,,False,False,,,80.45,
rodada_3,P04,v1,saude_geral,E os containers?,PASS,PASS,PASS,True,False,,,304.35,
rodada_3,P05,v1,saude_geral,Como está a saúde dos containers da MV do site?,FAIL,REVISAR,,False,False,,,86.473,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar
rodada_3,P06,v1,saude_geral,Como está a saúde dos containers da MV de testes?,FAIL,REVISAR,,False,False,,,33.032,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar
rodada_3,P07,v1,recursos_vm,Como está o uso de CPU da máquina do site?,PASS,PASS,,False,False,,,37.804,
rodada_3,P08,v1,recursos_vm,Como está o uso de memória da máquina do site?,PASS,PASS,,True,False,,,54.879,
rodada_3,P09,v1,recursos_vm,Como está o uso de disco da máquina do site?,PASS,PASS,,False,False,,,37.781,
rodada_3,P10,v1,recursos_vm,Como está o uso de rede da máquina do site?,PASS,PASS,,True,False,,,62.305,
rodada_3,P11,v1,recursos_vm,Como está o uso de CPU da máquina de testes?,PASS,PASS,,False,False,,,37.396,
rodada_3,P12,v1,recursos_vm,Como está o uso de memória da máquina de testes?,PASS,PASS,,True,False,,,58.564,
rodada_3,P13,v1,recursos_vm,Como está o uso de disco da máquina de testes?,PASS,PASS,,False,False,,,41.162,
rodada_3,P14,v1,recursos_vm,Como está o uso de rede da máquina de testes?,PASS,PASS,,True,False,,,66.699,
rodada_3,P15,v1,containers,Quais containers mais usam CPU no site?,PASS,PASS,,False,False,,,75.112,
rodada_3,P16,v1,containers,Quais containers mais usam CPU em testes?,FAIL,FAIL,,False,False,,,9.463,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: nenhuma) | nenhuma ferramenta executada
rodada_3,P17,v1,contexto,Quais containers mais usam memória?,FAIL,REVISAR,FAIL,False,False,,,35.776,"chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar | alvo herdado esperado 'testes', usado: ['site']"
rodada_3,P18,v1,containers,Quais containers mais usam memória em testes?,PASS,PASS,,False,False,,,102.012,
rodada_3,P19,v1,containers,Há containers inativos no site?,PASS,PASS,,True,False,,,45.986,
rodada_3,P20,v1,containers,Há containers inativos em testes?,PASS,PASS,,False,False,,,32.447,
rodada_3,P21,v1,containers,Como está o container API no site?,PASS,REVISAR,,False,False,,,31.166,ausencia nao declarada explicitamente; auditar resposta
rodada_3,P22,v1,containers,Como está o container Kafka em testes?,PASS,REVISAR,,False,False,,,38.393,resposta sem valores numericos em pergunta de dados; auditar
rodada_3,P23,v1,containers,Como está o container Redis em testes?,FAIL,FAIL,,False,False,,,9.965,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: nenhuma) | nenhuma ferramenta executada
rodada_3,P24,v1,anomalias,Há alguma anomalia na máquina do site?,PASS,PASS,,False,False,,,33.203,
